Threshold,CrowdCost,CrowdCost Std,TC,TC std,Loss,Loss Std,Recall,Recall Std,Precision,Precision Std
0.7,10.0,0.0,10.0,0.0,0.0064,0.006858571279792899,0.9871999999999999,0.013717142559585808,1.0,0.0
0.75,10.0,0.0,10.0,0.0,0.0334,0.014914422550001727,0.9331999999999999,0.029828845100003432,1.0,0.0
0.8,10.0,0.0,10.0,0.0,0.035800000000000005,0.021825672956406177,0.9284,0.04365134591281235,1.0,0.0
0.85,10.0,0.0,10.0,0.0,0.13419999999999999,0.031438193332314755,0.7315999999999999,0.06287638666462951,1.0,0.0
0.9,10.0,0.0,10.0,0.0,0.12840000000000001,0.027666586345264935,0.7432000000000001,0.05533317269052987,1.0,0.0
0.95,10.0,0.0,10.0,0.0,0.32500000000000007,0.033778691508109075,0.35,0.06755738301621815,1.0,0.0
