Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,116.14,0.707,116.14,0.707,0.106,0.011,0.844,0.02,0.937,0.008
0.6,116.165,0.764,116.165,0.764,0.111,0.012,0.849,0.018,0.924,0.014
0.7,116.91,0.409,116.91,0.409,0.184,0.008,0.936,0.009,0.755,0.007
0.8,116.125,0.702,116.125,0.702,0.177,0.013,0.937,0.009,0.763,0.013
0.9,116.195,0.661,116.195,0.661,0.176,0.012,0.939,0.01,0.763,0.012
