ohsumed_data_base
dataset;worker_tests;lr;loss_mean;loss_std;price_mean;price_std;algorithm;recall;recall_std;precision;precision_std;f_beta;f_beta_std;baseround_items;total_items;theta;filters_num
amazon-sentiment-dataset;5;5;0.8074418604651161;0.13518038875082544;6.800687563195147;2.705122639016404;Crowd-Ensemble;0.34842549184329435;0.1395786285253507;0.8864756893250602;0.05248953592702464;0.3843241039256459;0.1459541084940994;20;989;0.3;2
loneliness-dataset-2018;5;5;0.8399391120507399;0.12824964786753676;6.483083175536967;2.7216345078453603;Crowd-Ensemble;0.3028251357966019;0.13794968517557607;0.8765574275381818;0.05569054266347432;0.3365381126040798;0.14557239288897098;20;825;0.3;2
ohsumed_data;5;5;0.8676531473109209;0.1142977140282568;5.947434302122592;2.4144100593558067;Crowd-Ensemble;0.2799638384104487;0.12082186089504764;0.8682012332759113;0.049746225120599556;0.31301181264150435;0.12757001104645474;20;34389;0.3;2
BarzanMozafari;5;5;0.53014;0.02043135825147217;1.07;0.0;Crowd-Ensemble;0.020768862972443184;0.004752971419843509;0.51;0.11747340124470732;0.024721074870272183;0.005657242084520024;20;1000;0.3;1
HyunCatherines_Binary;5;5;0.5417804058590174;0.019635103395754586;1.0456805004577359;0.02431949954226431;Crowd-Ensemble;0.013404523456013;0.008155978292016213;0.5235;0.12256732843625172;0.015976511413054652;0.009689706901859841;20;3277;0.3;1
RTE;5;5;0.5449036039060117;0.02038353720504562;1.0596203336384908;0.0279808852052969;Crowd-Ensemble;0.017222822908896412;0.00915574877151402;0.5153333333333334;0.12137361968548006;0.02049653931004362;0.01086445038734599;20;800;0.3;1
SpamCF;5;5;0.6364994851077266;0.1703406620376283;1.217982576961541;0.27535976064701484;Crowd-Ensemble;0.06529356568407808;0.08963931566728353;467;0.1452101924797292;0.07088125932611561;0.09425063400166106;20;101;0.3;1
TEMP;5;5;0.6170091118957051;0.15797304898161407;1.2046890918722633;0.24772013485007724;Crowd-Ensemble;0.061060232322386034;0.08076157386223477;463;0.1389280389266328;0.06708986298673213;0.08482509634053391;20;462;0.3;1
WVSCM;5;5;0.6358409265797542;0.15249793760986205;1.2434909098935527;0.24220988092403803;Crowd-Ensemble;0.07067707998610002;0.07771791959734667;0.4446666666666667;0.1395405158208739;0.07814875509608137;0.08239557521580768;20;160;0.3;1
