Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,150.0,0.0,150.0,0.0,0.161,0.014,0.844,0.12,0.052,0.009
0.8,187.087,1.582,187.087,1.582,0.46,0.018,0.972,0.045,0.021,0.001
