Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,245.493,7.35,245.493,7.35,0.171,0.025,0.943,0.009,0.942,0.011
0.6,245.036,7.821,245.036,7.821,0.17,0.025,0.945,0.009,0.936,0.013
0.7,246.2,6.188,246.2,6.188,0.225,0.028,0.945,0.009,0.844,0.015
0.8,244.768,6.553,244.768,6.553,0.327,0.017,0.984,0.005,0.632,0.011
0.9,246.5,7.756,246.5,7.756,0.331,0.021,0.984,0.006,0.629,0.01
0.95,245.727,6.342,245.727,6.342,0.323,0.019,0.986,0.006,0.631,0.01
