Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,685.672,29.888,685.672,29.888,0.011,0.008,0.996,0.003,0.996,0.003
0.6,693.768,29.346,693.768,29.346,0.013,0.008,0.996,0.003,0.996,0.003
0.7,686.908,34.289,686.908,34.289,0.086,0.015,0.996,0.003,0.868,0.018
0.8,688.913,31.358,688.913,31.358,0.232,0.015,0.996,0.003,0.692,0.013
0.9,687.862,27.56,687.862,27.56,0.353,0.016,0.996,0.004,0.592,0.009
0.95,685.04,24.231,685.04,24.231,0.35,0.015,0.996,0.003,0.594,0.009
