c,e,Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.1,0.5,0.7,150.0,0.0,150.0,0.0,0.756,0.04,0.873,0.015,0.5,0.006
0.1,0.5,0.8,150.0,0.0,150.0,0.0,0.759,0.035,0.871,0.013,0.499,0.006
0.1,0.5,0.9,150.0,0.0,150.0,0.0,0.751,0.039,0.875,0.015,0.5,0.006
0.1,1.0,0.5,150.0,0.0,150.0,0.0,1.513,0.051,0.495,0.02,0.497,0.014
0.1,1.0,0.6,150.0,0.0,150.0,0.0,1.488,0.049,0.504,0.019,0.503,0.015
0.1,1.0,0.7,150.0,0.0,150.0,0.0,0.742,0.039,0.878,0.015,0.502,0.006
0.1,1.0,0.8,150.0,0.0,150.0,0.0,0.749,0.04,0.874,0.015,0.501,0.006
0.1,1.0,0.9,150.0,0.0,150.0,0.0,0.744,0.04,0.878,0.015,0.5,0.006
0.5,0.0,0.5,150.0,0.0,150.0,0.0,1.506,0.055,0.497,0.022,0.5,0.015
0.5,0.0,0.6,150.0,0.0,150.0,0.0,1.508,0.064,0.497,0.024,0.497,0.018
0.5,0.0,0.7,150.0,0.0,150.0,0.0,0.752,0.038,0.874,0.015,0.5,0.006
0.5,0.0,0.8,150.0,0.0,150.0,0.0,0.759,0.035,0.872,0.014,0.499,0.006
0.5,0.0,0.9,150.0,0.0,150.0,0.0,0.744,0.036,0.877,0.013,0.501,0.007
0.5,0.1,0.5,150.0,0.0,150.0,0.0,1.493,0.052,0.503,0.021,0.501,0.014
0.5,0.1,0.6,150.0,0.0,150.0,0.0,1.508,0.052,0.497,0.02,0.499,0.016
0.5,0.1,0.7,150.0,0.0,150.0,0.0,0.752,0.032,0.874,0.013,0.499,0.005
0.5,0.1,0.8,150.0,0.0,150.0,0.0,0.75,0.035,0.876,0.013,0.499,0.006
0.5,0.1,0.9,150.0,0.0,150.0,0.0,0.745,0.036,0.878,0.014,0.5,0.006
0.5,0.2,0.5,150.0,0.0,150.0,0.0,1.495,0.066,0.501,0.026,0.503,0.017
0.5,0.2,0.6,150.0,0.0,150.0,0.0,1.504,0.052,0.499,0.021,0.498,0.013
0.5,0.2,0.7,150.0,0.0,150.0,0.0,0.755,0.036,0.873,0.014,0.499,0.006
0.5,0.2,0.8,150.0,0.0,150.0,0.0,0.752,0.035,0.874,0.014,0.5,0.006
0.5,0.2,0.9,150.0,0.0,150.0,0.0,0.751,0.034,0.875,0.013,0.5,0.006
0.5,0.3,0.5,150.0,0.0,150.0,0.0,1.507,0.053,0.497,0.02,0.499,0.015
0.5,0.3,0.6,150.0,0.0,150.0,0.0,1.493,0.054,0.504,0.022,0.499,0.013
0.5,0.3,0.7,150.0,0.0,150.0,0.0,0.742,0.039,0.878,0.015,0.501,0.006
0.5,0.3,0.8,150.0,0.0,150.0,0.0,0.755,0.03,0.873,0.012,0.499,0.005
0.5,0.3,0.9,150.0,0.0,150.0,0.0,0.747,0.034,0.876,0.014,0.501,0.005
0.5,0.5,0.5,150.0,0.0,150.0,0.0,1.507,0.066,0.498,0.025,0.497,0.018
0.5,0.5,0.6,150.0,0.0,150.0,0.0,1.493,0.049,0.503,0.018,0.501,0.016
0.5,0.5,0.7,150.0,0.0,150.0,0.0,0.755,0.037,0.873,0.015,0.5,0.006
0.5,0.5,0.8,150.0,0.0,150.0,0.0,0.749,0.038,0.875,0.016,0.5,0.006
0.5,0.5,0.9,150.0,0.0,150.0,0.0,0.754,0.041,0.873,0.016,0.5,0.006
0.5,1.0,0.5,150.0,0.0,150.0,0.0,1.496,0.06,0.503,0.022,0.499,0.019
0.5,1.0,0.6,150.0,0.0,150.0,0.0,1.5,0.052,0.499,0.02,0.501,0.015
0.5,1.0,0.7,150.0,0.0,150.0,0.0,0.747,0.036,0.876,0.014,0.5,0.006
0.5,1.0,0.8,150.0,0.0,150.0,0.0,0.749,0.033,0.875,0.013,0.501,0.006
0.5,1.0,0.9,150.0,0.0,150.0,0.0,0.752,0.036,0.874,0.014,0.5,0.006
