c,e,Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
5,0.2,0.8,2536.063,30.601,2536.063,30.601,0.369,0.01,1.0,0.0,0.576,0.007
5,0.2,0.9,2536.063,30.601,2536.063,30.601,0.478,0.003,1.0,0.0,0.511,0.002
5,0.3,0.5,1948.418,23.349,1948.418,23.349,0.0,0.0,1.0,0.0,1.0,0.0
5,0.3,0.6,1948.418,23.349,1948.418,23.349,0.0,0.0,1.0,0.0,1.0,0.001
5,0.3,0.7,1948.418,23.349,1948.418,23.349,0.082,0.008,1.0,0.0,0.859,0.012
5,0.3,0.8,1948.418,23.349,1948.418,23.349,0.333,0.009,1.0,0.0,0.6,0.007
5,0.3,0.9,1948.418,23.349,1948.418,23.349,0.459,0.006,1.0,0.0,0.521,0.003
5,0.5,0.5,1264.455,15.766,1264.455,15.766,0.0,0.0,1.0,0.0,1.0,0.0
5,0.5,0.6,1264.455,15.766,1264.455,15.766,0.002,0.002,1.0,0.0,0.996,0.003
5,0.5,0.7,1264.455,15.766,1264.455,15.766,0.104,0.01,1.0,0.0,0.828,0.013
5,0.5,0.8,1264.455,15.766,1264.455,15.766,0.302,0.012,1.0,0.0,0.623,0.01
5,0.5,0.9,1264.455,15.766,1264.455,15.766,0.449,0.007,1.0,0.0,0.527,0.004
5,1.0,0.5,584.054,5.885,584.054,5.885,0.018,0.009,0.994,0.004,0.994,0.003
5,1.0,0.6,584.054,5.885,584.054,5.885,0.03,0.006,0.998,0.002,0.952,0.009
5,1.0,0.7,584.054,5.885,584.054,5.885,0.119,0.01,0.999,0.001,0.81,0.012
5,1.0,0.8,584.054,5.885,584.054,5.885,0.349,0.01,1.0,0.001,0.589,0.006
5,1.0,0.9,584.054,5.885,584.054,5.885,0.434,0.008,1.0,0.0,0.535,0.004
