Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,30.0,0.0,30.0,0.0,0.152,0.011,0.847,0.011,1.0,0.001
0.6,30.0,0.0,30.0,0.0,0.158,0.01,0.841,0.01,0.999,0.001
0.7,41.23,0.513,41.23,0.513,0.05,0.009,0.951,0.009,0.999,0.001
0.8,38.054,0.404,38.054,0.404,0.02,0.004,0.982,0.005,0.998,0.001
0.9,30.351,0.063,30.351,0.063,0.02,0.003,0.984,0.003,0.996,0.001
