Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,23.755,0.151,23.755,0.151,0.155,0.011,0.844,0.011,0.999,0.001
0.6,23.755,0.097,23.755,0.097,0.159,0.014,0.84,0.014,0.999,0.001
0.7,23.857,0.202,23.857,0.202,0.06,0.007,0.942,0.007,0.997,0.002
0.8,23.741,0.166,23.741,0.166,0.061,0.007,0.941,0.007,0.997,0.002
0.9,23.733,0.17,23.733,0.17,0.065,0.007,0.937,0.007,0.997,0.002
