Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,30.0,0.0,30.0,0.0,0.155,0.014,0.844,0.014,0.999,0.001
0.6,30.0,0.0,30.0,0.0,0.156,0.018,0.844,0.018,0.998,0.001
0.7,30.0,0.0,30.0,0.0,0.019,0.005,0.985,0.005,0.995,0.002
0.8,30.0,0.0,30.0,0.0,0.02,0.005,0.984,0.006,0.996,0.001
0.9,30.0,0.0,30.0,0.0,0.018,0.004,0.986,0.003,0.996,0.002
