Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,30.0,0.0,30.0,0.0,0.074,0.009,0.852,0.032,0.591,0.034
0.6,30.0,0.0,30.0,0.0,0.072,0.007,0.866,0.031,0.598,0.028
0.7,37.411,0.355,37.411,0.355,0.064,0.006,0.955,0.011,0.617,0.025
0.8,36.808,0.298,36.808,0.298,0.253,0.017,0.977,0.008,0.281,0.013
0.9,30.276,0.086,30.276,0.086,0.366,0.015,0.986,0.005,0.213,0.007
