loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.05,majority_voting,majority_voting,0.5,0.5,150.0,0.0,0.47,0.045,0.843,0.018,0.843,0.012
5,0.05,majority_voting,majority_voting,0.3,0.5,150.0,0.0,0.344,0.032,0.842,0.019,0.703,0.023
5,0.05,majority_voting,majority_voting,0.1,0.5,150.0,0.0,0.216,0.02,0.848,0.032,0.379,0.02
