loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
5,0.05,majority_voting,decision_function_mv,0.3,0.8,366.82,8.57,0.131,0.019,0.962,0.011,0.797,0.019,0.8717612279704378,0,0.9544005362187007,0
5,0.05,majority_voting,decision_function_mv,0.3,0.9,280.318,6.606,0.236,0.024,0.947,0.013,0.644,0.016,0.7666473915776241,0,0.9301676541326919,0
5,0.05,majority_voting,decision_function_mv,0.3,0.95,231.558,4.263,0.263,0.022,0.941,0.012,0.619,0.017,0.7467679487179486,0,0.92254227582846,0
5,0.05,truth_finder_single,decision_function_mv,0.5,0.7,150.0,0.0,0.471,0.042,0.842,0.016,0.845,0.014,0.8434973325429758,0,0.8421149906678199,0
5,0.05,truth_finder_single,decision_function_mv,0.5,0.8,150.0,0.0,0.461,0.044,0.847,0.017,0.845,0.016,0.8459988179669031,0,0.8469229018751137,0
5,0.05,truth_finder_single,decision_function_mv,0.5,0.9,150.0,0.0,0.472,0.045,0.843,0.018,0.843,0.013,0.843,0,0.843,0
5,0.05,truth_finder_single,decision_function_mv,0.5,0.95,150.0,0.0,0.47,0.044,0.843,0.017,0.844,0.014,0.8434997036158861,0,0.8430384177186346,0
5,0.05,truth_finder_single,decision_function_mv,0.3,0.7,150.0,0.0,0.345,0.031,0.843,0.021,0.698,0.016,0.7636781310837119,0,0.8363179358224457,0
5,0.05,truth_finder_single,decision_function_mv,0.3,0.8,150.0,0.0,0.34,0.037,0.846,0.024,0.699,0.016,0.7655067961165049,0,0.8392120517439005,0
5,0.05,truth_finder_single,decision_function_mv,0.3,0.9,150.0,0.0,0.345,0.033,0.844,0.022,0.696,0.021,0.7628883116883116,0,0.8371532558649419,0
5,0.05,truth_finder_single,decision_function_mv,0.3,0.95,150.0,0.0,0.344,0.033,0.843,0.021,0.7,0.02,0.7648736228127025,0,0.8364280652019843,0
5,0.05,majority_voting,decision_function_em,0.5,0.7,259.981,6.41,0.179,0.028,0.943,0.01,0.93,0.013,0.9364548852108917,0,0.9424932831810854,0
5,0.05,majority_voting,decision_function_em,0.5,0.8,322.89,8.259,0.196,0.024,0.944,0.009,0.893,0.014,0.9177920522591181,0,0.9419309811336972,0
5,0.05,majority_voting,decision_function_em,0.5,0.9,233.279,8.061,0.259,0.024,0.949,0.008,0.784,0.011,0.8586451240623196,0,0.9413799211640467,0
5,0.05,majority_voting,decision_function_em,0.5,0.95,150.504,0.276,0.478,0.049,0.841,0.019,0.842,0.015,0.8414997029114676,0,0.8410384176145448,0
5,0.05,majority_voting,decision_function_em,0.3,0.7,258.127,7.31,0.134,0.022,0.942,0.014,0.857,0.017,0.8974919399666481,0,0.9384201725756695,0
5,0.05,majority_voting,decision_function_em,0.3,0.8,319.233,8.101,0.164,0.026,0.943,0.015,0.784,0.028,0.856180660104227,0,0.9357013094484737,0
5,0.05,majority_voting,decision_function_em,0.3,0.9,235.116,6.901,0.257,0.019,0.949,0.012,0.612,0.015,0.7441229980781551,0,0.9293179887993107,0
5,0.05,majority_voting,decision_function_em,0.3,0.95,150.544,0.254,0.344,0.035,0.845,0.022,0.696,0.021,0.7632965606748865,0,0.8380992052617157,0
5,0.05,truth_finder_single,decision_function_em,0.5,0.7,150.0,0.0,0.468,0.036,0.844,0.013,0.845,0.015,0.8444997039668442,0,0.8440384177704946,0
5,0.05,truth_finder_single,decision_function_em,0.5,0.8,150.0,0.0,0.47,0.041,0.844,0.016,0.843,0.015,0.8434997036158861,0,0.8439614945937314,0
5,0.05,truth_finder_single,decision_function_em,0.5,0.9,150.0,0.0,0.482,0.035,0.839,0.014,0.84,0.013,0.8394997022036927,0,0.8390384175099593,0
5,0.05,truth_finder_single,decision_function_em,0.5,0.95,150.0,0.0,0.468,0.049,0.844,0.019,0.843,0.014,0.8434997036158861,0,0.8439614945937314,0
5,0.05,truth_finder_single,decision_function_em,0.3,0.7,150.0,0.0,0.351,0.036,0.838,0.023,0.7,0.019,0.7628088426527958,0,0.8316937506816445,0
5,0.05,truth_finder_single,decision_function_em,0.3,0.8,150.0,0.0,0.349,0.035,0.838,0.021,0.704,0.021,0.765177691309987,0,0.8319097515999565,0
5,0.05,truth_finder_single,decision_function_em,0.3,0.9,150.0,0.0,0.34,0.034,0.845,0.022,0.703,0.017,0.7674870801033591,0,0.838485884907709,0
5,0.05,truth_finder_single,decision_function_em,0.3,0.95,150.0,0.0,0.34,0.039,0.845,0.025,0.703,0.02,0.7674870801033591,0,0.838485884907709,0
5,0.05,majority_voting,decision_function_bayes,0.3,0.7,150.0,0.0,0.338,0.032,0.844,0.019,0.709,0.014,0.7706323245331616,0,0.837863966826431,0
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.7,150.0,0.0,0.338,0.032,0.844,0.019,0.709,0.014,0.7706323245331616,0,0.837863966826431,0
5,0.05,majority_voting,decision_function_bayes,0.3,0.8,305.28,11.312,0.067,0.017,0.969,0.01,0.933,0.015,0.9506593059936908,0,0.9675640898987403,0
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.8,305.28,11.312,0.067,0.017,0.969,0.01,0.933,0.015,0.9506593059936908,0,0.9675640898987403,0
5,0.05,majority_voting,decision_function_bayes,0.3,0.9,387.135,16.912,0.04,0.01,0.982,0.006,0.955,0.012,0.9683118224057822,0,0.9809333386973488,0
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.9,387.135,16.912,0.04,0.01,0.982,0.006,0.955,0.012,0.9683118224057822,0,0.9809333386973488,0
5,0.05,majority_voting,decision_function_bayes,0.3,0.95,449.67,20.436,0.045,0.009,0.98,0.007,0.954,0.013,0.9668252326783867,0,0.9789738219895289,0
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.95,449.67,20.436,0.045,0.009,0.98,0.007,0.954,0.013,0.9668252326783867,0,0.9789738219895289,0
