Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,118.872,0.719,118.872,0.719,0.155,0.013,0.849,0.017,0.841,0.013
0.6,118.886,0.692,118.886,0.692,0.158,0.012,0.842,0.017,0.842,0.016
0.7,118.79,0.824,118.79,0.824,0.248,0.014,0.938,0.011,0.683,0.013
0.8,118.696,0.883,118.696,0.883,0.247,0.013,0.94,0.009,0.684,0.012
0.9,118.791,0.803,118.791,0.803,0.25,0.012,0.94,0.01,0.681,0.011
