loss_ratio,cost_ratio,wrong_answer_cost,dataset,workers_num,gamma_dist,data_bal,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
5,0.05,500,BarzanMozafari,83,4.0-0.42,0.491,536.3000000000001,17.1,0.264,0.041,0.914,0.015,0.907,0.015,0.9104865458539263,0,0.9137287718852007,0
5,0.05,500,RTE,164,4.0-0.15,0.5,149.72,1.6800000000000002,0.061,0.012,0.98,0.006,0.981,0.006,0.980499745028047,0,0.9800384238384631,0
5,0.05,500,SpamCF,150,4.0-0.4,0.3069306930693069,52.292750000000005,1.3837000000000002,0.3,0.079,0.92,0.025,0.974,0.019,0.9462302006335797,0,0.921965967550455,0
5,0.05,500,TEMP,76,4.0-0.14,0.4393939393939394,83.20620000000001,1.1781,0.07,0.019,0.978,0.005,0.985,0.002,0.9814875191034131,0,0.978267390540171,0
5,0.05,500,WVSCM,17,4.0-0.5,0.3625,106.304,2.6560000000000006,0.703,0.122,0.792,0.032,0.873,0.029,0.8305297297297297,0,0.7948364504576203,0
