Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,3.0,0.0,3.0,0.0,0.109,0.029,0.853,0.04,0.925,0.037
0.8,3.0,0.0,3.0,0.0,0.289,0.03,0.425,0.061,0.993,0.016
0.85,3.0,0.0,3.0,0.0,0.294,0.037,0.415,0.073,0.991,0.022
0.9,3.0,0.0,3.0,0.0,0.294,0.036,0.417,0.07,0.989,0.025
0.95,3.0,0.0,3.0,0.0,0.289,0.034,0.428,0.068,0.988,0.025
