Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,3.0,0.0,3.0,0.0,0.013,0.012,0.975,0.023,0.998,0.006
0.8,3.425,0.087,3.425,0.087,0.053,0.021,0.894,0.041,1.0,0.0
0.85,3.157,0.068,3.157,0.068,0.115,0.03,0.769,0.061,1.0,0.0
0.9,3.0,0.001,3.0,0.001,0.127,0.029,0.746,0.059,1.0,0.0
0.95,3.0,0.0,3.0,0.0,0.132,0.036,0.735,0.072,1.0,0.0
