Threshold,Cost mean,Cost Std,TC mean,TC std,Loss mean,Loss Std,Recall mean,Recall Std,Precision mean,Precision Std
0.5,250.0,0.0,250.0,0.0,0.068,0.008,0.894,0.014,0.968,0.008
0.6,282.16,3.213,282.16,3.213,0.026,0.005,0.956,0.007,0.991,0.004
0.7,272.39,1.383,272.39,1.383,0.06,0.004,0.979,0.008,0.909,0.006
0.8,272.08,0.568,272.08,0.568,0.125,0.011,0.995,0.002,0.802,0.015
0.9,266.89,1.223,266.89,1.223,0.278,0.011,0.999,0.001,0.643,0.009
